ASV_ID	taxonomy	abundance	genus	guild	confidence
ASV060	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Phlebia;s__Phlebia_acanthocystis	4	Phlebia	Unassigned	NA
ASV061	k__;p__;c__;o__;f__;g__;s__	4	NA	NA	NA
ASV062	k__Fungi;p__;c__;o__;f__;g__;s__	4	NA	NA	NA
ASV063	k__Fungi;p__Basidiomycota;c__;o__;f__;g__;s__	2	NA	NA	NA
ASV064	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea	2	Papiliotrema	Unassigned	NA
ASV065	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV066	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV067	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_citrinum	1	Penicillium	Saprotroph	Probable
ASV068	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV069	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV070	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV071	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV072	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV073	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV074	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV075	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV076	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
ASV077	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__	1	NA	NA	NA
