gene_id	tissue	contrast	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
Solyc03g081240.3	Leaf	red_vs_blue	183.920147299692	2.15732582633684	0.245582715788456	5.64555408221724e-19	7.83231800259496e-17	TRUE
Solyc09g082870.3	Leaf	red_vs_blue	427.447164888384	2.53088261372852	0.29574196322103	7.81325379630986e-19	1.07643848656244e-16	TRUE
Solyc09g061290.3	Leaf	red_vs_blue	304.97596834736	1.19139294277456	0.137003918869407	8.04476270391059e-19	1.10068998126126e-16	TRUE
Solyc09g092430.3	Leaf	red_vs_blue	1537.65970586387	2.31161069094075	0.270747015118844	9.99297992168987e-19	1.35788170319456e-16	TRUE
Solyc10g080730.3	Leaf	red_vs_blue	84.4686936313559	-2.00228056604177	0.234275785804228	1.27807935338491e-18	1.72488546202743e-16	TRUE
Solyc05g013480.4	Leaf	red_vs_blue	383.155366029966	1.67383859249841	0.196382779028902	1.28913609379745e-18	1.72805209221943e-16	TRUE
Solyc02g036370.3	Leaf	red_vs_blue	284.563804686466	-3.39833257375741	0.406210631429168	1.47960776998269e-18	1.97006298984474e-16	TRUE
Solyc02g087850.1	Leaf	red_vs_blue	356.491826253988	2.33684589232789	0.273111530085286	1.531582670413e-18	2.02567123988823e-16	TRUE
Solyc03g019650.3	Leaf	red_vs_blue	320.833350360088	2.75236455631053	0.323278333610579	1.56317999991963e-18	2.05377006744408e-16	TRUE
Solyc07g065270.1	Leaf	red_vs_blue	311.37204073353	1.74759975820481	0.204003707490236	1.90983541208994e-18	2.49271215397712e-16	TRUE
Solyc01g095070.4	Leaf	red_vs_blue	228.946522942284	-1.79962406971338	0.214449668866188	2.22745779482301e-18	2.88827027395383e-16	TRUE
Solyc02g071030.2	Leaf	red_vs_blue	3963.8173125004	3.97395027549399	0.475059621637282	3.02629480980977e-18	3.89861446310494e-16	TRUE
Solyc06g005500.4	Leaf	red_vs_blue	1243.62316927468	0.959301700594638	0.112575705025629	3.43369087262661e-18	4.39490278851866e-16	FALSE
Solyc05g008450.3	Leaf	red_vs_blue	905.791680183107	1.05402073942107	0.12438188029452	3.73231482339505e-18	4.74649960136759e-16	TRUE
Solyc01g105450.4	Leaf	red_vs_blue	421.525912863968	-2.44483055481816	0.292419448490069	4.31568586490213e-18	5.45343260342633e-16	TRUE
Solyc12g010010.2	Leaf	red_vs_blue	897.171187926179	1.02844092321708	0.121207424422051	4.4880360226025e-18	5.63532573749437e-16	TRUE
Solyc11g006410.2	Leaf	red_vs_blue	535.750347571242	-1.02726730500703	0.121084779642195	4.6882003066724e-18	5.84963559019332e-16	TRUE
Solyc07g041900.3	Leaf	red_vs_blue	3536.51271461202	2.02858205099915	0.242089270306012	4.93192209093878e-18	6.1152751476334e-16	TRUE
Solyc12g006450.2	Leaf	red_vs_blue	404.308693328488	1.67795300191862	0.199760915662659	5.58927453528202e-18	6.88730543512174e-16	TRUE
Solyc01g110360.3	Leaf	red_vs_blue	6727.69039101633	-3.08632410510418	0.372570255760745	7.6609091952014e-18	9.38177639034571e-16	TRUE
Solyc09g009100.4	Leaf	red_vs_blue	545.470300433239	1.35946836346121	0.161988565743404	7.90419590871237e-18	9.62032776889232e-16	TRUE
Solyc08g077060.3	Leaf	red_vs_blue	180.753048512568	2.24286919249765	0.273545288514296	7.96566490991955e-18	9.63602598462768e-16	TRUE
Solyc12g089140.2	Leaf	red_vs_blue	140.13130684839	2.17837779150175	0.264412991959222	8.43427232118576e-18	1.01410623381821e-15	TRUE
Solyc02g081600.4	Leaf	red_vs_blue	192.873306659103	-3.07077290639267	0.370722152680412	9.06188800062549e-18	1.08300479544825e-15	TRUE
Solyc12g094620.3	Leaf	red_vs_blue	36449.7638337978	2.15541758656037	0.260317724575908	9.18372194725442e-18	1.09099317192563e-15	TRUE
Solyc06g006100.3	Leaf	red_vs_blue	480.037127435304	2.51328384829523	0.304715846499965	9.36182301326181e-18	1.10553099261965e-15	TRUE
Solyc01g057260.4	Leaf	red_vs_blue	151.475568469588	-3.32847453605817	0.404581769514769	9.83711058030727e-18	1.15478364972021e-15	TRUE
Solyc12g006000.1	Leaf	red_vs_blue	22.8900222641265	-2.07493664953302	0.252090051610583	1.47309956303116e-17	1.71910719005737e-15	TRUE
Solyc03g119080.4	Leaf	red_vs_blue	1692.64194334089	3.9832058701347	0.485911501579183	1.48299246377079e-17	1.72053143209056e-15	TRUE
Solyc08g080570.4	Leaf	red_vs_blue	520.7147184941	1.90102371494208	0.230248346645298	1.61974041467872e-17	1.86825756318669e-15	TRUE
