tissue	amplicon	module	asv_id	rho	p_value	n	padj	Genus
Leaf	16S	yellow	ASV221	0.091179252250327	0.694267099938073	21	0.833034553722063	Staphylococcus
Leaf	16S	yellow	ASV262	0.0874184725733553	0.706326453341367	21	0.833034553722063	Corynebacterium
Leaf	16S	yellow	ASV317	0.222448959799991	0.332452576472781	21	0.583149592469442	Acinetobacter
Leaf	16S	black	ASV003	0.611777773170722	0.00320696667237135	21	0.0352766333960848	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	black	ASV004	0.476822964904313	0.0288517679821485	21	0.155690672507443	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	black	ASV005	0.00488402470541305	0.983236928743486	21	0.989014099781882	Vibrionimonas
Leaf	16S	black	ASV006	-0.117307068644526	0.612571787701838	21	0.78563018512433	Ralstonia
Leaf	16S	black	ASV008	0.350287973719696	0.119535471814103	21	0.349725625894772	Methylobacterium-Methylorubrum
Leaf	16S	black	ASV012	-0.221580018550772	0.334393472604855	21	0.583149592469442	Paenarthrobacter
Leaf	16S	black	ASV013	0.340370577937951	0.131103944147874	21	0.364427409532352	Azospirillum
Leaf	16S	black	ASV018	-0.150326836114837	0.515425020909765	21	0.719080760878989	Edaphobacter
Leaf	16S	black	ASV020	0.238273358872508	0.29828329424777	21	0.553954689317287	Methylobacterium-Methylorubrum
Leaf	16S	black	ASV021	0.0960248885486425	0.67883359637042	21	0.820873475862112	Rhizobiaceae
Leaf	16S	black	ASV024	0.186233403973637	0.418930233028043	21	0.644161541107636	Pantoea
Leaf	16S	black	ASV032	0.180708914100283	0.433104183171471	21	0.655385166068999	Hydrotalea
Leaf	16S	black	ASV034	-0.0293041482324783	0.899659034106174	21	0.939060159687466	Aminobacter
Leaf	16S	black	ASV037	0.0881920873748894	0.70384012323979	21	0.833034553722063	Leifsonia
Leaf	16S	black	ASV038	-0.146520741162392	0.526235629663709	21	0.720111914276654	Phenylobacterium
Leaf	16S	black	ASV054	-0.0597402597402597	0.797287626660405	21	0.901281664920457	Pseudomonas
Leaf	16S	black	ASV060	0.113721375825515	0.623551366620498	21	0.792603070459833	Paenibacillus
Leaf	16S	black	ASV080	0.0556122399499977	0.81077448429138	21	0.91291930120998	Sphingomonas
Leaf	16S	black	ASV091	-0.242915047681713	0.288685716666747	21	0.550427433111264	Curtobacterium
Leaf	16S	black	ASV221	0.0420827318078432	0.856274751346167	21	0.930512146659216	Staphylococcus
Leaf	16S	black	ASV262	0.112174146222447	0.628313077865047	21	0.79512185959913	Corynebacterium
Leaf	16S	black	ASV317	-0.150326836114837	0.515425020909765	21	0.719080760878989	Acinetobacter
Leaf	16S	red	ASV003	0.596091163602242	0.00434760125449338	21	0.0444076413851824	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	red	ASV004	0.580334953083821	0.00581418662382997	21	0.055428579147179	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	red	ASV005	0.203501029392211	0.376283119413098	21	0.610875375495566	Vibrionimonas
Leaf	16S	red	ASV006	0.0495296512054667	0.831166786509697	21	0.924956034792893	Ralstonia
Leaf	16S	red	ASV008	0.462542420896278	0.0347478798524518	21	0.16843887521697	Methylobacterium-Methylorubrum
Leaf	16S	red	ASV012	0.104272949906246	0.652848336861833	21	0.801156132193192	Paenarthrobacter
Leaf	16S	red	ASV013	0.455506502821824	0.0379802830727035	21	0.178071491127758	Azospirillum
Leaf	16S	red	ASV018	-0.0955835374140585	0.680234313913709	21	0.820873475862112	Edaphobacter
