sample	input	filtered	denoisedF	denoisedR	merged	nonchim
VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001	5024	4223	3557	3556	1833	1376
VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001	5293	4335	4122	4121	2047	1378
VEG-05-G-SN02-AdvRoots-tom-blue-rich_S137_L001	4847	3806	3392	3392	3074	1204
VEG-05-F-tomato-SN-07-root_S12_L001	5588	4421	4172	4178	1471	1601
VEG-05-G-SN04-AdvRoots-tom-blue-rich_S138_L001	5080	4268	2918	2919	917	1355
VEG-05-G-SN05-AdvRoots-tom-blue-rich_S139_L001	3277	2625	4506	4511	2577	813
VEG-05-G-SN07-AdvRoots-tom-blue-rich_S140_L001	3582	2513	3983	3985	2281	1644
VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001	12271	1	4020	4022	1940	1
VEG-05-G-SN10-AdvRoots-tom-blue-rich_S142_L001	6575	5208	2730	2733	933	1785
VEG-05-F-tomato-SN-07-soil-1_S13_L001	5219	4212	228	228	98	1565
VEG-05-F-tomato-SN-07-soil-2_S14_L001	4877	3558	627	628	229	1828
VEG-05-F-tomato-SN-07-soil-3_S15_L001	5024	4126	121	121	87	2043
VEG-05-F-tomato-SN-10-wick_S16_L001	4840	3393	3484	3486	1165	3036
VEG-05-F-tomato-SN-10-root_S17_L001	5232	4179	2985	2983	788	1470
VEG-05-F-tomato-SN-01-root_S2_L001	4337	2919	2867	2876	2080	915
VEG-05-F-tomato-SN-10-soil-1_S18_L001	5546	4512	3049	3051	2751	2569
VEG-05-F-tomato-SN-10-soil-2_S19_L001	4822	3986	3271	3272	3145	2276
VEG-05-F-tomato-SN-10-soil-3_S20_L001	4838	4022	4161	4163	3890	1935
VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	3351	2733	3185	3191	3074	933
VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	2655	228	5	5	5	98
VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	3341	628	4	4	3	229
VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001	12117	121	0	0	0	87
VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	4199	3486	1	1	0	1165
VEG-05-F-swab-Locker-1-1_S26_L001	4387	2985	3333	3334	1610	788
VEG-05-F-swab-Locker-1-2_S27_L001	5044	2879	5431	5430	1268	2025
VEG-05-F-swab-Locker-1-3_S28_L001	3634	3054	3291	3295	810	2700
VEG-05-F-swab-Locker-3-1_S29_L001	4811	3273	4776	4780	3295	3120
VEG-05-F-swab-Locker-3-2_S30_L001	4894	4165	107	107	80	3848
VEG-05-F-swab-Locker-3-3_S31_L001	4157	3193	2006	2004	155	3039
VEG-05-F-water-Locker-1-root-mat_S32_L001	14446	5	1958	1970	558	5
VEG-05-F-water-Locker-3-root-mat_S33_L001	9043	4	17	18	9	3
VEG-05-F-water-SN-09_S34_L001	11666	1	13	13	8	0
VEG-05-F-water-SN-10_S35_L001	11319	1	17	17	10	0
VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	4767	3338	172	172	8	1587
VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	8113	5433	10	10	1	1268
VEG-05-F-tomato-SN-01-soil-2_S4_L001	4769	3296	4895	4895	1311	807
VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	6118	4782	1261	1261	1217	3260
VEG-05-G-tomato-Blue-Swab-1_S39_L001	14608	107	13	13	13	80
VEG-05-G-tomato-Blue-Swab-2_S40_L001	9152	2009	1	1	0	155
VEG-05-G-tomato-Blue-Swab-3_S41_L001	13295	1995	5	6	0	558
VEG-05-G-tomato-Blue-Swab-4_S42_L001	12040	18	1	1	0	9
VEG-05-G-tomato-Blue-Swab-5_S43_L001	12761	13	3756	3762	1230	8
VEG-05-G-tomato-Blue-Swab-6_S44_L001	15613	17	4057	4059	1368	10
VEG-05-G-tomato-Blue-Swab-7_S45_L001	7032	172	2381	2384	848	8
VEG-05-G-tomato-Blue-Swab-8_S46_L001	12998	0	2933	2938	1023	0
VEG-05-G-tomato-Red-Swab-1_S47_L001	12826	10	3481	3487	1112	1
VEG-05-F-tomato-SN-01-soil-3_S5_L001	6975	4898	4382	4385	1417	1308
VEG-05-G-tomato-Red-Swab-2_S48_L001	12200	1263	2616	2618	877	1217
VEG-05-G-tomato-Red-Swab-3_S49_L001	14596	13	3514	3515	1198	13
VEG-05-G-tomato-Red-Swab-4_S50_L001	16805	1	4445	4455	1442	0
VEG-05-G-tomato-Red-Swab-5_S51_L001	13339	0	3243	3246	1083	0
VEG-05-G-tomato-Red-Swab-6_S52_L001	12735	0	5661	5668	1786	0
VEG-05-G-tomato-Red-Swab-7_S53_L001	14964	6	4003	4007	1279	0
VEG-05-G-tomato-Red-Swab-8_S54_L001	11791	1	4334	4338	1422	0
VEG-05-G-tomato-Hrvst-1-Fruit-1_S55_L001	4584	3762	4327	4332	2545	1230
VEG-05-G-tomato-Hrvst-1-Fruit-2_S56_L001	5056	4059	4009	4010	1315	1368
VEG-05-G-tomato-Hrvst-1-Fruit-3_S57_L001	3071	2384	3031	3032	1046	848
VEG-05-G-tomato-Hrvst-1-Fruit-4_S58_L001	3455	2939	2627	2628	951	1023
VEG-05-G-tomato-Hrvst-1-Fruit-5_S59_L001	4390	3488	3788	3795	1172	1112
VEG-05-G-tomato-Hrvst-1-Fruit-7_S60_L001	5275	4385	4028	4031	1295	1416
VEG-05-G-tomato-Hrvst-1-Fruit-8_S61_L001	4012	2618	3481	3486	1174	877
VEG-05-G-tomato-Hrvst-1-Fruit-9_S62_L001	4526	3517	3634	3636	1186	1198
VEG-05-G-tomato-Hrvst-1-Fruit-10_S63_L001	5296	4455	3964	3965	1289	1441
VEG-05-G-tomato-Hrvst-2-Fruit-1_S64_L001	4006	3246	2725	2728	880	1083
VEG-05-G-tomato-Hrvst-2-Fruit-2_S65_L001	6852	5668	4011	4012	1199	1786
VEG-05-G-tomato-Hrvst-2-Fruit-3_S66_L001	4833	4007	3076	3077	986	1278
VEG-05-G-tomato-Hrvst-2-Fruit-4_S67_L001	5246	4338	3658	3665	1166	1421
VEG-05-F-tomato-SN-03-wick_S6_L001	6094	4333	4464	4465	1483	2473
VEG-05-G-tomato-Hrvst-2-Fruit-5_S68_L001	4857	4011	3376	3379	1126	1315
VEG-05-G-tomato-Hrvst-2-Fruit-6_S69_L001	3675	3033	2650	2652	933	1045
VEG-05-G-tomato-Hrvst-2-Fruit-7_S70_L001	3154	2628	3286	3287	1050	950
VEG-05-G-tomato-Hrvst-2-Fruit-9_S71_L001	4488	3795	3370	3376	1084	1171
VEG-05-G-tomato-Hrvst-2-Fruit-10_S72_L001	4920	4032	4595	4595	1024	1295
VEG-05-G-tomato-Hrvst-2-Fruit-11_S73_L001	4316	3486	3571	3574	1290	1174
VEG-05-G-tomato-Hrvst-2-Fruit-12_S74_L001	4766	3636	2781	2785	1125	1185
VEG-05-G-tomato-Hrvst-3-Fruit-1_S75_L001	4698	3965	4626	4627	1368	1288
VEG-05-G-tomato-Hrvst-3-Fruit-2_S76_L001	3437	2728	4591	4590	3652	880
VEG-05-G-tomato-Hrvst-3-Fruit-3_S77_L001	4861	4014	4817	4823	2368	1198
VEG-05-F-tomato-SN-03-root_S7_L001	1	0	3486	3489	1109	0
VEG-05-G-tomato-Hrvst-3-Fruit-4_S78_L001	3703	3077	4058	4059	1413	986
VEG-05-G-tomato-Hrvst-3-Fruit-5_S79_L001	4445	3665	1206	1208	695	1166
VEG-05-G-tomato-Hrvst-3-Fruit-7_S80_L001	5339	4467	385	383	256	1483
VEG-05-G-tomato-Hrvst-3-Fruit-8_S81_L001	4000	3379	489	490	378	1126
VEG-05-G-tomato-Hrvst-3-Fruit-10_S82_L001	3098	2652	4172	4170	3845	933
VEG-05-G-tomato-Hrvst-3-Fruit-11_S83_L001	3843	3287	4051	4053	1327	1050
VEG-05-G-tomato-Hrvst-3-Fruit-12_S84_L001	4055	3377	5047	5049	3238	1084
VEG-05-G-tomato-SN-01-wick_S85_L001	7220	4600	2471	2472	830	1022
VEG-05-G-tomato-SN-01-root_S86_L001	4703	3575	2965	2965	2480	1289
VEG-05-G-tomato-SN-01-soil-1_S87_L001	4057	2786	4114	4113	1312	1123
VEG-05-F-tomato-SN-03-soil-1_S8_L001	5886	4629	4233	4238	1686	1364
VEG-05-G-tomato-SN-01-soil-2_S88_L001	5552	4603	1852	1855	1748	3652
VEG-05-G-tomato-SN-01-soil-3_S89_L001	6020	4831	73	73	69	2366
VEG-05-G-tomato-SN-03-wick_S90_L001	4523	3491	1766	1766	592	1109
VEG-05-G-tomato-SN-03-root_S91_L001	5417	4060	2765	2764	992	1412
VEG-05-G-tomato-SN-03-soil-1_S92_L001	10228	1209	1193	1194	371	695
VEG-05-G-tomato-SN-03-soil-2_S93_L001	9914	385	2779	2782	941	256
VEG-05-G-tomato-SN-03-soil-3_S94_L001	10938	492	2573	2575	999	378
VEG-05-G-tomato-SN-07-wick_S95_L001	4464	4173	2291	2292	820	3844
VEG-05-G-tomato-SN-07-root_S96_L001	5256	4056	1377	1378	483	1327
VEG-05-G-tomato-SN-07-soil-1_S97_L001	15992	0	2	2	1	0
