ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	tissue	module	n_genes_in_module
GO:0006633	fatty acid biosynthetic process	3/109	10/3282	0.3	9.03302752293578	4.71469861161941	0.00360666799435664	0.0368681617200901	0.029106443463229	Solyc02g063140/Solyc05g013220/Solyc02g085870	3	Adv-Root	magenta	133
GO:0004143	ATP-dependent diacylglycerol kinase activity	4/272	5/3282	0.8	9.65294117647059	5.81989101821788	0.000216016680247786	0.0100668142093087	0.00887161105349113	Solyc03g115370/Solyc06g009270/Solyc05g056420/Solyc07g054830	4	Adv-Root	brown	439
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	4/272	5/3282	0.8	9.65294117647059	5.81989101821788	0.000216016680247786	0.0100668142093087	0.00887161105349113	Solyc03g115370/Solyc06g009270/Solyc05g056420/Solyc07g054830	4	Adv-Root	brown	439
GO:0003924	GTPase activity	7/272	17/3282	0.411764705882353	4.96842560553633	4.93066424888389	0.000234111958356016	0.0100668142093087	0.00887161105349113	Solyc01g088560/Solyc08g077360/Solyc03g025730/Solyc08g078070/Solyc09g056340/Solyc01g109110/Solyc01g095970	7	Adv-Root	brown	439
GO:0005509	calcium ion binding	11/272	46/3282	0.239130434782609	2.88539002557545	3.87061685938316	0.000997275558891874	0.0282491193086115	0.0248951847028156	Solyc03g118090/Solyc04g082000/Solyc02g094000/Solyc11g071740/Solyc11g071760/Solyc08g007160/Solyc07g062700/Solyc06g150132/Solyc06g073830/Solyc10g081170/Solyc10g079890	11	Adv-Root	brown	439
GO:0003700	DNA-binding transcription factor activity	30/272	204/3282	0.147058823529412	1.77443771626298	3.43298251114254	0.00109492710498494	0.0282491193086115	0.0248951847028156	Solyc06g035700/Solyc04g051360/Solyc08g007830/Solyc02g090770/Solyc01g108240/Solyc07g042230/Solyc08g080290/Solyc08g007820/Solyc08g076010/Solyc02g090400/Solyc03g116890/Solyc10g050970/Solyc08g007840/Solyc01g095100/Solyc05g050560/Solyc08g066660/Solyc01g096120/Solyc02g084680/Solyc06g066540/Solyc10g011910/Solyc06g150130/Solyc06g054630/Solyc01g096050/Solyc05g052410/Solyc11g042560/Solyc03g082840/Solyc06g009640/Solyc02g084630/Solyc05g050830/Solyc08g083170	30	Adv-Root	brown	439
GO:0005618	cell wall	7/272	23/3282	0.304347826086957	3.67231457800512	3.86557085355752	0.00191092294102231	0.0308136324239848	0.0271552207408434	Solyc05g005680/Solyc03g031800/Solyc03g093130/Solyc03g093080/Solyc02g080160/Solyc07g055990/Solyc03g093120	7	Adv-Root	brown	439
GO:0016762	xyloglucan:xyloglucosyl transferase activity	7/272	23/3282	0.304347826086957	3.67231457800512	3.86557085355752	0.00191092294102231	0.0308136324239848	0.0271552207408434	Solyc05g005680/Solyc03g031800/Solyc03g093130/Solyc03g093080/Solyc02g080160/Solyc07g055990/Solyc03g093120	7	Adv-Root	brown	439
GO:0044042	glucan metabolic process	7/272	23/3282	0.304347826086957	3.67231457800512	3.86557085355752	0.00191092294102231	0.0308136324239848	0.0271552207408434	Solyc05g005680/Solyc03g031800/Solyc03g093130/Solyc03g093080/Solyc02g080160/Solyc07g055990/Solyc03g093120	7	Adv-Root	brown	439
GO:0005525	GTP binding	6/272	18/3282	0.333333333333333	4.02205882352941	3.86427842696917	0.00242173316302982	0.0312403578030847	0.0275312822744443	Solyc01g088560/Solyc08g077360/Solyc03g025730/Solyc08g078070/Solyc09g056340/Solyc01g095970	6	Adv-Root	brown	439
